"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"San Diego County, CA"	"06073"	"45-54 years"	"45-54"	"2008"	"2008"	86	422737	20.3
	"San Diego County, CA"	"06073"	"45-54 years"	"45-54"	"2009"	"2009"	86	427879	20.1
	"San Diego County, CA"	"06073"	"45-54 years"	"45-54"	"2010"	"2010"	73	430774	16.9
	"San Diego County, CA"	"06073"	"45-54 years"	"45-54"	"2011"	"2011"	86	430333	20.0
	"San Diego County, CA"	"06073"	"55-64 years"	"55-64"	"2007"	"2007"	35	290880	12.0
	"San Diego County, CA"	"06073"	"55-64 years"	"55-64"	"2008"	"2008"	41	302887	13.5
	"San Diego County, CA"	"06073"	"55-64 years"	"55-64"	"2009"	"2009"	55	317811	17.3
	"San Diego County, CA"	"06073"	"55-64 years"	"55-64"	"2010"	"2010"	44	329616	13.3
	"San Diego County, CA"	"06073"	"55-64 years"	"55-64"	"2011"	"2011"	63	345861	18.2
	"San Francisco County, CA"	"06075"	"25-34 years"	"25-34"	"2009"	"2009"	10	167721	Unreliable
	"San Francisco County, CA"	"06075"	"35-44 years"	"35-44"	"2009"	"2009"	25	134536	18.6
	"San Francisco County, CA"	"06075"	"35-44 years"	"35-44"	"2010"	"2010"	16	133682	Unreliable
	"San Francisco County, CA"	"06075"	"35-44 years"	"35-44"	"2011"	"2011"	27	133462	20.2
	"San Francisco County, CA"	"06075"	"45-54 years"	"45-54"	"2009"	"2009"	25	111619	22.4
	"San Francisco County, CA"	"06075"	"45-54 years"	"45-54"	"2010"	"2010"	39	111807	34.9
	"San Francisco County, CA"	"06075"	"45-54 years"	"45-54"	"2011"	"2011"	28	111717	25.1
	"San Francisco County, CA"	"06075"	"55-64 years"	"55-64"	"2009"	"2009"	33	94549	34.9
	"San Francisco County, CA"	"06075"	"55-64 years"	"55-64"	"2010"	"2010"	33	96596	34.2
	"San Francisco County, CA"	"06075"	"55-64 years"	"55-64"	"2011"	"2011"	32	100128	32.0
	"San Joaquin County, CA"	"06077"	"25-34 years"	"25-34"	"2011"	"2011"	10	92677	Unreliable
	"San Joaquin County, CA"	"06077"	"35-44 years"	"35-44"	"2007"	"2007"	16	94187	Unreliable
	"San Joaquin County, CA"	"06077"	"35-44 years"	"35-44"	"2008"	"2008"	15	92479	Unreliable
	"San Joaquin County, CA"	"06077"	"35-44 years"	"35-44"	"2009"	"2009"	17	90896	Unreliable
	"San Joaquin County, CA"	"06077"	"35-44 years"	"35-44"	"2010"	"2010"	11	90738	Unreliable
	"San Joaquin County, CA"	"06077"	"45-54 years"	"45-54"	"2007"	"2007"	25	88268	28.3
	"San Joaquin County, CA"	"06077"	"45-54 years"	"45-54"	"2008"	"2008"	19	89841	Unreliable
	"San Joaquin County, CA"	"06077"	"45-54 years"	"45-54"	"2009"	"2009"	29	90941	31.9
	"San Joaquin County, CA"	"06077"	"45-54 years"	"45-54"	"2010"	"2010"	27	91839	29.4
	"San Joaquin County, CA"	"06077"	"45-54 years"	"45-54"	"2011"	"2011"	28	92339	30.3
	"San Joaquin County, CA"	"06077"	"55-64 years"	"55-64"	"2008"	"2008"	20	63302	31.6
	"San Joaquin County, CA"	"06077"	"55-64 years"	"55-64"	"2010"	"2010"	27	68697	39.3
	"San Joaquin County, CA"	"06077"	"55-64 years"	"55-64"	"2011"	"2011"	26	72267	36.0
	"San Mateo County, CA"	"06081"	"45-54 years"	"45-54"	"2007"	"2007"	11	107175	Unreliable
	"Santa Clara County, CA"	"06085"	"35-44 years"	"35-44"	"2007"	"2007"	14	279962	Unreliable
	"Santa Clara County, CA"	"06085"	"35-44 years"	"35-44"	"2008"	"2008"	10	279950	Unreliable
	"Santa Clara County, CA"	"06085"	"35-44 years"	"35-44"	"2011"	"2011"	12	279638	Unreliable
