"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Cherokee County, OK"	"40021"	17	48700	Unreliable
	"Cleveland County, OK"	"40027"	49	278655	17.6
	"Comanche County, OK"	"40031"	23	122136	18.8
	"Creek County, OK"	"40037"	16	71312	Unreliable
	"Delaware County, OK"	"40041"	12	41598	Unreliable
	"Garvin County, OK"	"40049"	11	27838	Unreliable
	"Grady County, OK"	"40051"	13	54655	Unreliable
	"Le Flore County, OK"	"40079"	14	49873	Unreliable
	"Lincoln County, OK"	"40081"	10	35129	Unreliable
	"McCurtain County, OK"	"40089"	14	32822	Unreliable
	"Mayes County, OK"	"40097"	11	40920	Unreliable
	"Muskogee County, OK"	"40101"	28	69477	40.3
	"Oklahoma County, OK"	"40109"	182	782970	23.2
	"Okmulgee County, OK"	"40111"	12	39213	Unreliable
	"Payne County, OK"	"40119"	13	81131	Unreliable
	"Pittsburg County, OK"	"40121"	12	44173	Unreliable
	"Pottawatomie County, OK"	"40125"	21	72290	29.0
	"Rogers County, OK"	"40131"	14	91766	Unreliable
	"Sequoyah County, OK"	"40135"	17	41294	Unreliable
	"Stephens County, OK"	"40137"	10	44090	Unreliable
	"Tulsa County, OK"	"40143"	149	642940	23.2
	"Wagoner County, OK"	"40145"	15	77679	Unreliable
	"Clackamas County, OR"	"41005"	46	408062	11.3
	"Clatsop County, OR"	"41007"	10	38632	Unreliable
	"Deschutes County, OR"	"41017"	26	181307	14.3
	"Douglas County, OR"	"41019"	13	108457	Unreliable
	"Jackson County, OR"	"41029"	30	216527	13.9
	"Lane County, OR"	"41039"	78	369519	21.1
	"Linn County, OR"	"41043"	17	122849	Unreliable
	"Marion County, OR"	"41047"	43	336316	12.8
	"Multnomah County, OR"	"41051"	131	799766	16.4
	"Washington County, OR"	"41067"	62	582779	10.6
	"Adams County, PA"	"42001"	24	102180	23.5
	"Allegheny County, PA"	"42003"	642	1225365	52.4
	"Armstrong County, PA"	"42005"	47	66486	70.7
	"Beaver County, PA"	"42007"	113	167429	67.5
	"Bedford County, PA"	"42009"	11	48325	Unreliable
	"Berks County, PA"	"42011"	108	414812	26.0
	"Blair County, PA"	"42013"	41	124650	32.9
	"Bradford County, PA"	"42015"	12	60770	Unreliable
	"Bucks County, PA"	"42017"	206	626399	32.9
	"Butler County, PA"	"42019"	83	186847	44.4
	"Cambria County, PA"	"42021"	99	134732	73.5
	"Carbon County, PA"	"42025"	22	63594	34.6
	"Centre County, PA"	"42027"	18	161464	Unreliable
	"Chester County, PA"	"42029"	125	516312	24.2
	"Clearfield County, PA"	"42033"	13	80596	Unreliable
	"Clinton County, PA"	"42035"	14	39233	Unreliable
