"HCPCS CODE","MODIFIER","SHORT DESCRIPTION","PROC STAT","MAC LOCALITY","NON-FACILITY PRICE","FACILITY PRICE","NON-FACILITY LIMITING CHARGE","FACILITY LIMITING CHARGE","CONV FACT","GPCI WORK","GPCI PE","GPCI MP","PROC STAT","PCTC","NOT USED FOR MEDICARE","WORK RVU","NA FLAG FOR NON-FAC PE RVU","NON-FACILITY PE RVU","NA FLAG FOR TRANS NON-FAC PE RVU","TRANSITIONED NON-FAC PE RVU","NA FLG FOR FULLY IMP NON-FAC PE RVU","FULLY IMPLEMENTED NON-FAC PE RVU","NA FLAG FOR TRANS FACILITY PE RVU","NA FLAG FOR FACILITY PE RVU","FACILITY PE RVU","TRANSITIONED FACILITY PE RVU","NA FLAG FOR FULLY IMP FAC PE RVU","FULLY IMPLEMENTED FACILITY PE RVU","MP RVU","NON-FACILITY TOTAL","TRANSITIONED NON-FAC TOTAL","FACILITY TOTAL","TRANSITIONED FACILITY TOTAL","FULLY IMPLEMENTED NON-FAC TOTAL","FULLY IMPLEMENTED FACILITY TOTAL","PCTC","GLOBAL","PRE OP","INTRA OP","POST OP","MULT SURG","BILT SURG","ASST SURG","CO SURG","TEAM SURG","PHYS SUPV","ENDOBASE","CONV FACT","NOT USED FOR MEDICARE","DIAG IMAGING FAMILY IND","OPPS NON-FACILITY PAYMENT AMOUNT<sup>1</sup>","OPPS FACILITY PAYMENT AMOUNT<sup>1</sup>","NON-FAC PE USED FOR OPPS PMT AMT","FACILITY PE USED FOR OPPS PMT AMT","MALPRACTICE USED FOR OPPS PMT AMT",
"","","","","1421299","","","","","","1.019","1.067","0.839","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0820201","","","","","","1.000","0.992","1.510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0820299","","","","","","1.000","0.920","0.986","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0620200","","","","","","1.000","1.016","0.341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0730200","","","","","","1.000","0.867","0.492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0530202","","","","","","1.000","0.958","1.049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0530201","","","","","","1.000","0.957","1.039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0530299","","","","","","1.000","0.856","0.970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0320201","","","","","","1.000","1.000","1.429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0540200","","","","","","1.000","0.909","0.340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0131200","","","","","","1.004","1.034","0.946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1431240","","","","","","1.000","1.052","0.962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1240201","","","","","","1.041","1.181","1.014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1240299","","","","","","1.025","1.124","1.014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0421205","","","","","","1.000","0.920","1.204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1320201","","","","","","1.052","1.174","1.690","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1320202","","","","","","1.044","1.207","2.182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1320203","","","","","","1.013","1.072","1.399","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1329204","","","","","","1.052","1.200","2.151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1328299","","","","","","1.000","0.948","0.678","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1150200","","","","","","1.000","0.931","0.732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0330201","","","","","","1.000","1.000","0.547","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1520200","","","","","","1.000","0.918","0.999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0431200","","","","","","1.000","0.882","0.900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0230201","","","","","","1.008","1.052","0.746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0230299","","","","","","1.000","0.967","0.746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1250201","","","","","","1.022","1.081","1.322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","1250299","","","","","","1.000","0.933","1.010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","0920220","","","","","","1.000","0.856","0.642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
