"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"			58	648209	8.9
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	5787	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	23785	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"5-14 years"	"5-14"	Suppressed	68667	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"15-24 years"	"15-24"	Suppressed	75348	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"25-34 years"	"25-34"	19	65597	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"35-44 years"	"35-44"	22	72081	30.5
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"45-54 years"	"45-54"	16	95726	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"55-64 years"	"55-64"	13	107809	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"65-74 years"	"65-74"	Suppressed	77912	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"75-84 years"	"75-84"	Suppressed	37827	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"85+ years"	"85+"	Suppressed	16155	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"			82	646694	12.7
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	5893	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	23809	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"5-14 years"	"5-14"	Suppressed	67360	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"15-24 years"	"15-24"	Suppressed	74384	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"25-34 years"	"25-34"	20	65564	30.5
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"35-44 years"	"35-44"	20	70768	28.3
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"45-54 years"	"45-54"	22	93034	23.6
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"55-64 years"	"55-64"	16	108215	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"65-74 years"	"65-74"	Suppressed	81333	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"75-84 years"	"75-84"	Suppressed	38158	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"85+ years"	"85+"	Suppressed	16356	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"			88	644874	13.6
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	5704	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	23955	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"5-14 years"	"5-14"	Suppressed	66334	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"15-24 years"	"15-24"	Suppressed	73238	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"25-34 years"	"25-34"	39	66093	59.0
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"35-44 years"	"35-44"	33	69518	47.5
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"45-54 years"	"45-54"	39	90132	43.3
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"55-64 years"	"55-64"	15	108332	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"65-74 years"	"65-74"	Suppressed	84552	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"75-84 years"	"75-84"	Suppressed	38848	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"85+ years"	"85+"	Suppressed	16352	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"			139	643058	21.6
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"< 1 year"	"1"	Suppressed	5639	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"1-4 years"	"1-4"	Suppressed	23770	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"5-14 years"	"5-14"	Suppressed	66008	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"15-24 years"	"15-24"	12	71756	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"25-34 years"	"25-34"	38	66468	57.2
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"35-44 years"	"35-44"	26	69359	37.5
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"45-54 years"	"45-54"	33	87821	37.6
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"55-64 years"	"55-64"	21	108391	19.4
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"65-74 years"	"65-74"	Suppressed	87492	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"75-84 years"	"75-84"	Suppressed	40217	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"85+ years"	"85+"	Suppressed	16754	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"			134	643675	20.8
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	5534	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	23594	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	65545	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"15-24 years"	"15-24"	Suppressed	70487	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"25-34 years"	"25-34"	36	67359	53.4
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"35-44 years"	"35-44"	29	69457	41.8
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"45-54 years"	"45-54"	27	84905	31.8
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"55-64 years"	"55-64"	17	108244	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"65-74 years"	"65-74"	Suppressed	89922	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"75-84 years"	"75-84"	Suppressed	42518	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"85+ years"	"85+"	Suppressed	16905	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"			117	644470	18.2
"Total"	"NonCore (Nonmetro)"	"6"	"Division 1: New England"	"CENS-D1"					929	7786533	11.9
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	9161	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	34423	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	100940	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"15-24 years"	"15-24"	Suppressed	112026	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"25-34 years"	"25-34"	10	84980	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"35-44 years"	"35-44"	10	112513	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"45-54 years"	"45-54"	10	131184	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"55-64 years"	"55-64"	Suppressed	108202	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"65-74 years"	"65-74"	Suppressed	71973	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	46926	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	17524	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"			41	829852	4.9
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	9128	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	34440	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	98943	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"15-24 years"	"15-24"	Suppressed	110894	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"25-34 years"	"25-34"	11	85147	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"35-44 years"	"35-44"	Suppressed	108792	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"45-54 years"	"45-54"	25	131762	19.0
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"55-64 years"	"55-64"	Suppressed	110194	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"65-74 years"	"65-74"	Suppressed	74403	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	46578	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	17780	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"			52	828061	6.3
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	8637	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	34790	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	96994	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"15-24 years"	"15-24"	Suppressed	109443	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"25-34 years"	"25-34"	Suppressed	85865	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"35-44 years"	"35-44"	Suppressed	104993	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"45-54 years"	"45-54"	17	132182	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"55-64 years"	"55-64"	Suppressed	113292	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"65-74 years"	"65-74"	Suppressed	76325	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	46154	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	18123	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"			48	826798	5.8
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	8332	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	34647	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	95872	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"15-24 years"	"15-24"	Suppressed	108119	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"25-34 years"	"25-34"	13	86295	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"35-44 years"	"35-44"	Suppressed	102104	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"45-54 years"	"45-54"	18	132070	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"55-64 years"	"55-64"	Suppressed	116236	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"65-74 years"	"65-74"	Suppressed	77462	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	46346	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	18387	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"			48	825870	5.8
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	7984	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	34102	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"5-14 years"	"5-14"	Suppressed	93654	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"15-24 years"	"15-24"	Suppressed	107970	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"25-34 years"	"25-34"	23	87107	26.4
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"35-44 years"	"35-44"	20	98442	20.3
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"45-54 years"	"45-54"	20	129672	15.4
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"55-64 years"	"55-64"	Suppressed	120022	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"65-74 years"	"65-74"	Suppressed	79038	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"75-84 years"	"75-84"	Suppressed	46261	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"85+ years"	"85+"	Suppressed	18857	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"			79	823109	9.6
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	7794	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	33517	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"5-14 years"	"5-14"	Suppressed	92440	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"15-24 years"	"15-24"	10	107251	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"25-34 years"	"25-34"	19	87361	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"35-44 years"	"35-44"	10	95667	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"45-54 years"	"45-54"	20	126141	15.9
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"55-64 years"	"55-64"	10	120136	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"65-74 years"	"65-74"	Suppressed	83298	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"75-84 years"	"75-84"	Suppressed	46599	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"85+ years"	"85+"	Suppressed	19114	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"			73	819318	8.9
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	7912	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	33067	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"5-14 years"	"5-14"	Suppressed	90467	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"15-24 years"	"15-24"	10	105565	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"25-34 years"	"25-34"	24	87735	27.4
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"35-44 years"	"35-44"	24	93170	25.8
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"45-54 years"	"45-54"	18	122517	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"55-64 years"	"55-64"	Suppressed	121763	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"65-74 years"	"65-74"	Suppressed	86345	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"75-84 years"	"75-84"	Suppressed	46871	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"85+ years"	"85+"	Suppressed	19310	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"			84	814722	10.3
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	8023	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	32884	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"5-14 years"	"5-14"	Suppressed	88570	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"15-24 years"	"15-24"	Suppressed	103861	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"25-34 years"	"25-34"	28	88073	31.8
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"35-44 years"	"35-44"	18	91203	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"45-54 years"	"45-54"	24	119065	20.2
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"55-64 years"	"55-64"	12	122942	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"65-74 years"	"65-74"	Suppressed	88772	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"75-84 years"	"75-84"	Suppressed	47510	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"85+ years"	"85+"	Suppressed	19364	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"			94	810267	11.6
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	7714	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	32233	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"5-14 years"	"5-14"	Suppressed	86777	Suppressed
