"Notes"	"Census Division"	"Census Division Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2007"	"2007"	238	2686845	8.9
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2008"	"2008"	268	2621186	10.2
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2009"	"2009"	300	2560633	11.7
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2010"	"2010"	297	2530143	11.7
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2011"	"2011"	299	2497496	12.0
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2012"	"2012"	300	2491768	12.0
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2013"	"2013"	328	2502850	13.1
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2014"	"2014"	341	2512483	13.6
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2015"	"2015"	351	2529343	13.9
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2016"	"2016"	425	2537902	16.7
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2017"	"2017"	446	2578705	17.3
	"Division 4: West North Central"	"CENS-D4"	"35-44 years"	"35-44"	"2018"	"2018"	487	2624683	18.6
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2007"	"2007"	290	2987020	9.7
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2008"	"2008"	311	3012282	10.3
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2009"	"2009"	336	3022060	11.1
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2010"	"2010"	344	3014761	11.4
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2011"	"2011"	350	2969342	11.8
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2012"	"2012"	338	2911218	11.6
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2013"	"2013"	374	2844661	13.1
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2014"	"2014"	379	2790397	13.6
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2015"	"2015"	339	2736951	12.4
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2016"	"2016"	360	2678677	13.4
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2017"	"2017"	396	2616995	15.1
	"Division 4: West North Central"	"CENS-D4"	"45-54 years"	"45-54"	"2018"	"2018"	342	2547504	13.4
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2007"	"2007"	90	2208736	4.1
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2008"	"2008"	106	2283056	4.6
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2009"	"2009"	146	2373419	6.2
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2010"	"2010"	129	2449438	5.3
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2011"	"2011"	175	2563017	6.8
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2012"	"2012"	169	2604415	6.5
	"Division 4: West North Central"	"CENS-D4"	"55-64 years"	"55-64"	"2013"	"2013"	196	2662918	7.4
