Census Division Code,Year,urbanization,cost,cost_pc,total_deaths,Census Division
CENS-D5,2016,Fringe/Small/Medium Metro,93401.71656143719,6328.684114130249,10121,South Atlantic
CENS-D5,2016,Micropolitan/Rural,13184.63030913981,3579.620202709392,10121,South Atlantic
CENS-D5,2017,Large Central Metro,30356.188201629335,2294.295126605242,11739,South Atlantic
CENS-D5,2017,Fringe/Small/Medium Metro,106691.58543142561,7081.777315962442,11739,South Atlantic
CENS-D5,2017,Micropolitan/Rural,14689.5705573452,3988.5142967799243,11739,South Atlantic
CENS-D5,2018,Large Central Metro,28813.270985474577,2155.561584268968,11452,South Atlantic
CENS-D5,2018,Fringe/Small/Medium Metro,102845.36123851128,6872.642720864891,11452,South Atlantic
CENS-D5,2018,Micropolitan/Rural,12776.560899884355,3455.099894618959,11452,South Atlantic
CENS-D6,2007,Large Central Metro,1998.326381400721,688.0452828567054,1120,East South Central
CENS-D6,2007,Fringe/Small/Medium Metro,8096.64511249539,2608.7429618861615,1120,East South Central
CENS-D6,2007,Micropolitan/Rural,6249.474680767879,2060.406189527728,1120,East South Central
CENS-D6,2008,Large Central Metro,2191.574495318057,750.5294435613704,1177,East South Central
CENS-D6,2008,Fringe/Small/Medium Metro,9383.080560613249,2955.8000217550457,1177,East South Central
CENS-D6,2008,Micropolitan/Rural,6737.129660399004,2206.003946739168,1177,East South Central
CENS-D6,2009,Large Central Metro,3392.137377604951,1154.3005917949806,1311,East South Central
CENS-D6,2009,Fringe/Small/Medium Metro,8961.381191165196,2821.4433482496993,1311,East South Central
CENS-D6,2009,Micropolitan/Rural,8055.111373256512,2640.4847840859725,1311,East South Central
CENS-D6,2010,Large Central Metro,3284.4098520709117,1111.894209924385,1575,East South Central
CENS-D6,2010,Fringe/Small/Medium Metro,11492.29960975056,3624.5212473366496,1575,East South Central
CENS-D6,2010,Micropolitan/Rural,9524.939909685734,3128.6507601144835,1575,East South Central
CENS-D6,2011,Large Central Metro,3729.7653520658714,1253.112939143217,1634,East South Central
CENS-D6,2011,Fringe/Small/Medium Metro,11683.115371256868,3693.073947752986,1634,East South Central
CENS-D6,2011,Micropolitan/Rural,9945.698775356563,3266.002653817041,1634,East South Central
CENS-D6,2012,Large Central Metro,4209.4631013355065,1403.2030114829004,1748,East South Central
CENS-D6,2012,Fringe/Small/Medium Metro,12529.344401281442,3946.12627789778,1748,East South Central
CENS-D6,2012,Micropolitan/Rural,9245.60606956366,3033.8616303450267,1748,East South Central
CENS-D6,2013,Large Central Metro,5186.6498100715335,1720.6368312373343,1756,East South Central
CENS-D6,2013,Fringe/Small/Medium Metro,11463.38144323741,3536.758866827673,1756,East South Central
CENS-D6,2013,Micropolitan/Rural,8208.264221759924,2700.820752793223,1756,East South Central
CENS-D6,2014,Large Central Metro,6471.091607928567,2137.1062939972526,2053,East South Central
CENS-D6,2014,Fringe/Small/Medium Metro,13211.379297444792,4087.761577496854,2053,East South Central
CENS-D6,2014,Micropolitan/Rural,8674.23615463672,2851.33624095126,2053,East South Central
CENS-D6,2015,Large Central Metro,7196.33230064251,2366.4766055330474,2434,East South Central
CENS-D6,2015,Fringe/Small/Medium Metro,17242.831401150277,5229.622945035507,2434,East South Central
CENS-D6,2015,Micropolitan/Rural,9443.498511484337,3114.7259450768674,2434,East South Central
CENS-D6,2016,Large Central Metro,9421.476860004965,3095.2134409780674,2783,East South Central
CENS-D6,2016,Fringe/Small/Medium Metro,19184.98156967862,5705.20333690248,2783,East South Central
CENS-D6,2016,Micropolitan/Rural,8827.49386923232,2904.282779291207,2783,East South Central
CENS-D6,2017,Large Central Metro,10467.883792973182,3422.488757932472,3114,East South Central
CENS-D6,2017,Fringe/Small/Medium Metro,21164.240387094065,6261.03471855198,3114,East South Central
CENS-D6,2017,Micropolitan/Rural,9128.02969570877,2988.2503375591245,3114,East South Central
CENS-D6,2018,Large Central Metro,9143.05320978625,2989.7158069099705,2922,East South Central
CENS-D6,2018,Fringe/Small/Medium Metro,20183.72457642356,5874.008083167035,2922,East South Central
CENS-D6,2018,Micropolitan/Rural,8158.44537514352,2677.7821960087126,2922,East South Central
CENS-D7,2007,Large Central Metro,10039.307909472776,828.8873541604903,1948,West South Central
CENS-D7,2007,Fringe/Small/Medium Metro,12969.011250109965,2237.913357472439,1948,West South Central
CENS-D7,2007,Micropolitan/Rural,4891.8077861284655,1584.1755148468487,1948,West South Central
CENS-D7,2008,Large Central Metro,7897.564629542826,638.1768299418584,1753,West South Central
CENS-D7,2008,Fringe/Small/Medium Metro,12645.231521657608,2206.0922451707715,1753,West South Central
CENS-D7,2008,Micropolitan/Rural,5683.988754892848,1814.0791488707143,1753,West South Central
CENS-D7,2009,Large Central Metro,11029.71251889001,871.0435404309787,2132,West South Central
CENS-D7,2009,Fringe/Small/Medium Metro,14338.410565067956,2409.9638280862714,2132,West South Central
CENS-D7,2009,Micropolitan/Rural,6385.280334735605,2035.807714414855,2132,West South Central
CENS-D7,2010,Large Central Metro,10253.931729504251,797.7556674175596,2022,West South Central
CENS-D7,2010,Fringe/Small/Medium Metro,13714.812676801763,2292.010430383691,2022,West South Central
CENS-D7,2010,Micropolitan/Rural,5211.5507786452245,1664.3445871443703,2022,West South Central
CENS-D7,2011,Large Central Metro,10924.594250236645,829.4214379077854,2007,West South Central
CENS-D7,2011,Fringe/Small/Medium Metro,12256.107775868828,2003.430853389706,2007,West South Central
CENS-D7,2011,Micropolitan/Rural,5558.88250729506,1757.628341506292,2007,West South Central
CENS-D7,2012,Large Central Metro,10834.168248126209,807.6366207593835,2078,West South Central
CENS-D7,2012,Fringe/Small/Medium Metro,12629.728246614544,1990.6781299681422,2078,West South Central
CENS-D7,2012,Micropolitan/Rural,5536.880891313231,1751.7724670894252,2078,West South Central
CENS-D7,2013,Large Central Metro,10082.220534704195,738.2982279329262,2080,West South Central
CENS-D7,2013,Fringe/Small/Medium Metro,12980.146901944288,2050.488711886855,2080,West South Central
CENS-D7,2013,Micropolitan/Rural,4836.719791252135,1534.6047445039312,2080,West South Central
CENS-D7,2014,Large Central Metro,10412.52736664165,746.5164651985621,2168,West South Central
CENS-D7,2014,Fringe/Small/Medium Metro,13213.968250458573,2133.652572123553,2168,West South Central
CENS-D7,2014,Micropolitan/Rural,4863.781237620853,1541.7729316085224,2168,West South Central
CENS-D7,2015,Large Central Metro,10780.90647377321,757.6804609917477,2301,West South Central
CENS-D7,2015,Fringe/Small/Medium Metro,14061.201182164661,2225.7914845563214,2301,West South Central
CENS-D7,2015,Micropolitan/Rural,5114.131774380422,1613.686106003017,2301,West South Central
CENS-D7,2016,Large Central Metro,11776.941729332451,816.491598548462,2420,West South Central
CENS-D7,2016,Fringe/Small/Medium Metro,14046.626185963998,2127.523938813913,2420,West South Central
CENS-D7,2016,Micropolitan/Rural,4711.316452217407,1488.2924305735844,2420,West South Central
CENS-D7,2017,Large Central Metro,11499.09067750833,784.29278870384,2567,West South Central
CENS-D7,2017,Fringe/Small/Medium Metro,15976.088866664335,2369.9954784708434,2567,West South Central
CENS-D7,2017,Micropolitan/Rural,4460.050081637999,1418.3877073760787,2567,West South Central
CENS-D7,2018,Large Central Metro,10846.804318641349,730.6780317751552,2457,West South Central
CENS-D7,2018,Fringe/Small/Medium Metro,14999.141500102887,2242.209276322721,2457,West South Central
CENS-D7,2018,Micropolitan/Rural,3957.352399797982,1245.2090080091186,2457,West South Central
CENS-D8,2007,Large Central Metro,12495.056535020934,1752.9823411882955,2077,Mountain
CENS-D8,2007,Fringe/Small/Medium Metro,13196.181467634475,3506.691275228007,2077,Mountain
CENS-D8,2007,Micropolitan/Rural,3653.4375891731024,1912.151768605013,2077,Mountain
CENS-D8,2008,Large Central Metro,13221.319206289665,1821.4485168784956,2211,Mountain
CENS-D8,2008,Fringe/Small/Medium Metro,15110.8374194912,3924.1298844856124,2211,Mountain
CENS-D8,2008,Micropolitan/Rural,4376.024331508716,2283.4411983110285,2211,Mountain
CENS-D8,2009,Large Central Metro,14515.390535890412,1975.153944362766,2334,Mountain
CENS-D8,2009,Fringe/Small/Medium Metro,15498.869632390768,4070.438763868345,2334,Mountain
CENS-D8,2009,Micropolitan/Rural,4388.9952502831675,2274.478511715057,2334,Mountain
CENS-D8,2010,Large Central Metro,13094.934643914085,1770.0165464478698,2234,Mountain
CENS-D8,2010,Fringe/Small/Medium Metro,14471.562836594265,3700.1085427563266,2234,Mountain
CENS-D8,2010,Micropolitan/Rural,4498.9683837443845,2301.9573014419293,2234,Mountain
CENS-D8,2011,Large Central Metro,13269.724413107357,1764.7853265103333,2389,Mountain
CENS-D8,2011,Fringe/Small/Medium Metro,15487.912002065497,3960.6883585284727,2389,Mountain
CENS-D8,2011,Micropolitan/Rural,4752.8972296819,2406.3269679489604,2389,Mountain
CENS-D8,2012,Large Central Metro,12107.556724659178,1584.5440735004063,2411,Mountain
CENS-D8,2012,Fringe/Small/Medium Metro,16948.80723413608,4369.863547724629,2411,Mountain
CENS-D8,2012,Micropolitan/Rural,4578.934312685051,2255.225403004609,2411,Mountain
CENS-D8,2013,Large Central Metro,11436.40539593904,1472.530906594047,2426,Mountain
CENS-D8,2013,Fringe/Small/Medium Metro,16226.100619579833,4122.931692647438,2426,Mountain
CENS-D8,2013,Micropolitan/Rural,4767.114068767771,2287.9604143099546,2426,Mountain
CENS-D8,2014,Large Central Metro,11756.450424035174,1485.8118273009832,2639,Mountain
CENS-D8,2014,Fringe/Small/Medium Metro,17316.218182986417,4285.801767754001,2639,Mountain
CENS-D8,2014,Micropolitan/Rural,5267.0285687348605,2612.3575487826024,2639,Mountain
CENS-D8,2015,Large Central Metro,12538.092303113348,1553.1652046375289,2716,Mountain
CENS-D8,2015,Fringe/Small/Medium Metro,18049.693908559475,4528.725362629432,2716,Mountain
CENS-D8,2015,Micropolitan/Rural,4712.1311559612495,2279.888942938495,2716,Mountain
CENS-D8,2016,Large Central Metro,13785.846128298072,1678.524319855605,2889,Mountain
